timestamps,TP9,AF7,AF8,TP10,Right AUX
1709212307.247,-43.945,-52.246,-44.434,-50.781,0.000
1709212307.251,-46.875,-53.223,-45.898,-56.152,0.000
1709212307.255,-42.480,-54.199,-43.945,-51.758,0.000
1709212307.259,-42.480,-55.664,-43.457,-45.898,0.000
1709212307.263,-36.621,-48.340,-41.504,-34.668,0.000
1709212307.266,-27.344,-49.316,-41.016,-28.809,0.000
1709212307.270,-23.926,-52.246,-40.039,-29.297,0.000
1709212307.274,-22.461,-53.711,-45.410,-20.996,0.000
1709212307.278,-26.855,-48.828,-45.898,-19.531,0.000
1709212307.282,-25.879,-36.133,-37.109,-16.602,0.000
1709212307.286,-19.531,-41.016,-36.621,-7.812,0.000
1709212307.290,-23.926,-47.852,-36.133,-9.766,0.000
1709212307.294,-31.738,-38.574,-36.133,-18.555,0.000
1709212307.298,-31.250,-34.180,-31.250,-19.531,0.000
1709212307.302,-30.273,-45.410,-30.273,-19.043,0.000
1709212307.305,-30.273,-51.270,-42.480,-31.738,0.000
1709212307.309,-30.762,-48.340,-44.922,-36.133,0.000
1709212307.313,-36.621,-44.922,-40.039,-38.086,0.000
1709212307.317,-38.086,-39.551,-32.715,-37.598,0.000
1709212307.321,-37.598,-30.273,-30.273,-38.086,0.000
1709212307.325,-43.457,-38.086,-41.992,-47.363,0.000
1709212307.329,-43.457,-52.246,-40.527,-43.457,0.000
1709212307.333,-39.551,-57.129,-35.156,-36.621,0.000
1709212307.337,-41.992,-54.688,-35.645,-25.879,0.000
1709212307.341,-46.387,-51.758,-30.762,-22.949,0.000
1709212307.344,-42.969,-59.082,-31.738,-28.320,0.000
1709212307.348,-42.480,-55.176,-36.133,-29.785,0.000
1709212307.352,-49.316,-51.270,-36.133,-23.926,0.000
1709212307.356,-48.828,-46.875,-36.133,-19.043,0.000
1709212307.360,-42.969,-41.016,-34.180,-22.461,0.000
1709212307.364,-37.109,-44.434,-27.832,-18.555,0.000
1709212307.368,-42.969,-47.363,-33.203,-18.555,0.000
1709212307.372,-45.898,-42.969,-38.086,-27.344,0.000
1709212307.376,-39.062,-50.293,-37.109,-24.414,0.000
1709212307.380,-38.086,-55.664,-35.156,-23.438,0.000
1709212307.383,-33.203,-50.781,-36.621,-21.484,0.000
1709212307.387,-26.855,-41.992,-44.434,-21.973,0.000
1709212307.391,-26.367,-38.086,-40.039,-24.414,0.000
1709212307.395,-24.902,-45.410,-34.668,-16.602,0.000
1709212307.399,-15.137,-34.180,-32.227,-7.324,0.000
1709212307.403,-12.207,-36.621,-31.250,0.000,0.000
1709212307.407,-10.254,-41.504,-35.645,-1.465,0.000
1709212307.411,-8.301,-39.551,-30.273,1.465,0.000
1709212307.415,-18.066,-43.457,-26.855,-9.766,0.000
1709212307.419,-26.367,-40.527,-27.344,-13.184,0.000
1709212307.422,-26.855,-40.039,-25.391,-7.324,0.000
1709212307.426,-25.391,-49.316,-28.320,-6.836,0.000
1709212307.430,-20.020,-52.246,-31.738,-3.906,0.000
1709212307.434,-25.879,-45.410,-32.227,-9.766,0.000
1709212307.438,-34.668,-44.922,-26.855,-11.719,0.000
1709212307.442,-33.691,-49.805,-26.855,-12.207,0.000
1709212307.446,-35.156,-47.363,-35.645,-20.508,0.000
1709212307.450,-42.480,-42.969,-39.551,-29.785,0.000
1709212307.454,-45.898,-41.504,-38.574,-33.203,0.000
1709212307.457,-44.434,-43.457,-32.715,-29.785,0.000
1709212307.461,-43.457,-46.387,-36.133,-31.738,0.000
1709212307.465,-34.668,-40.527,-37.598,-33.203,0.000
1709212307.469,-31.738,-37.598,-34.180,-28.809,0.000
1709212307.473,-29.785,-40.039,-34.668,-31.250,0.000
1709212307.477,-29.297,-35.645,-30.273,-29.785,0.000
1709212307.481,-30.762,-37.109,-31.250,-20.996,0.000
1709212307.485,-21.973,-38.086,-32.227,-15.625,0.000
1709212307.489,-17.578,-36.133,-23.926,-18.066,0.000
1709212307.493,-21.973,-42.969,-27.344,-20.020,0.000
