timestamps,TP9,AF7,AF8,TP10,Right AUX
1709212374.235,0.000,-35.156,-36.621,0.000,0.000
1709212374.239,0.000,-42.480,-43.457,0.000,0.000
1709212374.243,0.000,-45.410,-44.434,0.000,0.000
1709212374.247,0.000,-47.363,-44.434,0.000,0.000
1709212374.250,0.000,-41.504,-42.969,0.000,0.000
1709212374.254,0.000,-36.621,-35.156,0.000,0.000
1709212374.258,0.000,-38.574,-38.574,0.000,0.000
1709212374.262,0.000,-39.062,-46.387,0.000,0.000
1709212374.266,0.000,-42.969,-41.992,0.000,0.000
1709212374.270,0.000,-40.039,-34.180,0.000,0.000
1709212374.274,0.000,-40.527,-35.645,0.000,0.000
1709212374.278,0.000,-46.875,-38.574,0.000,0.000
1709212374.282,-33.203,-39.551,-27.832,-30.273,0.000
1709212374.286,-36.133,-40.039,-33.203,-39.551,0.000
1709212374.290,-38.574,-43.945,-39.551,-40.039,0.000
1709212374.293,-30.762,-36.621,-33.203,-33.691,0.000
1709212374.297,-30.273,-36.621,-31.250,-28.809,0.000
1709212374.301,-38.574,-48.828,-35.156,-32.227,0.000
1709212374.305,-36.621,-48.828,-32.227,-34.180,0.000
1709212374.309,-35.645,-43.945,-26.855,-24.902,0.000
1709212374.313,-38.086,-44.922,-30.273,-24.414,0.000
1709212374.317,-38.574,-42.969,-36.133,-39.551,0.000
1709212374.321,-43.457,-41.504,-34.668,-45.898,0.000
1709212374.325,-42.480,-40.527,-36.621,-41.504,0.000
1709212374.329,-52.246,-45.410,-43.945,-43.457,0.000
1709212374.332,-49.805,-52.734,-41.016,-39.062,0.000
1709212374.336,-43.945,-58.594,-41.992,-35.645,0.000
1709212374.340,-43.457,-51.270,-42.969,-38.574,0.000
1709212374.344,-46.875,-41.992,-38.574,-37.598,0.000
1709212374.348,-61.035,-45.898,-34.180,-33.691,0.000
1709212374.352,-54.199,-37.109,-32.227,-32.715,0.000
1709212374.356,-46.387,-37.109,-36.621,-31.250,0.000
1709212374.360,-50.781,-41.992,-38.086,-35.645,0.000
1709212374.364,-51.758,-40.039,-36.133,-42.969,0.000
1709212374.368,-52.246,-42.480,-37.598,-45.898,0.000
1709212374.371,-54.199,-38.086,-37.598,-43.457,0.000
1709212374.375,-57.129,-38.574,-41.016,-43.457,0.000
1709212374.379,-54.199,-42.480,-37.598,-39.062,0.000
1709212374.383,-53.711,-36.621,-30.273,-36.133,0.000
1709212374.387,-58.594,-33.203,-25.879,-41.504,0.000
1709212374.391,-57.617,-37.598,-33.203,-38.574,0.000
1709212374.395,-58.594,-44.922,-40.527,-38.574,0.000
1709212374.399,-51.758,-49.316,-40.039,-35.645,0.000
1709212374.403,-46.387,-53.711,-43.457,-35.156,0.000
1709212374.407,-51.758,-44.434,-37.109,-42.969,0.000
1709212374.410,-48.340,-34.668,-33.203,-41.016,0.000
1709212374.414,-43.945,-41.016,-37.109,-42.969,0.000
1709212374.418,-41.504,-41.016,-32.715,-46.387,0.000
1709212374.422,-47.363,-38.086,-30.762,-45.410,0.000
1709212374.426,-50.293,-38.574,-34.180,-41.016,0.000
1709212374.430,-46.875,-41.992,-34.180,-34.180,0.000
1709212374.434,-42.969,-44.922,-34.668,-30.273,0.000
1709212374.438,-39.062,-51.270,-41.016,-34.180,0.000
1709212374.442,-38.574,-60.059,-43.945,-45.898,0.000
1709212374.445,-40.039,-54.199,-36.133,-43.945,0.000
1709212374.449,-40.039,-40.527,-31.250,-40.527,0.000
1709212374.453,-37.109,-38.086,-33.691,-46.387,0.000
1709212374.457,-36.621,-35.645,-37.598,-52.734,0.000
1709212374.461,-34.668,-32.715,-37.598,-52.246,0.000
1709212374.465,-37.598,-40.039,-37.598,-44.922,0.000
1709212374.469,-40.527,-44.922,-37.109,-38.086,0.000
1709212374.473,-38.574,-43.457,-39.062,-41.504,0.000
1709212374.477,-38.574,-38.574,-39.062,-42.480,0.000
1709212374.480,-41.504,-43.457,-40.527,-44.434,0.000
1709212374.484,-40.039,-44.434,-46.387,-50.293,0.000
1709212374.488,-40.039,-33.691,-46.387,-46.875,0.000
1709212374.492,-37.598,-42.480,-41.992,-36.621,0.000
1709212374.496,-31.738,-44.434,-38.086,-35.645,0.000
1709212374.500,-31.738,-34.668,-33.691,-38.086,0.000
1709212374.504,-33.691,-35.645,-38.086,-34.180,0.000
1709212374.508,-39.551,-32.715,-41.504,-37.598,0.000
1709212374.512,-42.969,-31.738,-34.668,-42.969,0.000
1709212374.516,-39.062,-37.109,-30.762,-41.504,0.000
1709212374.520,-30.762,-42.480,-41.016,-38.086,0.000
1709212374.524,-33.691,-45.898,-43.945,-39.062,0.000
1709212374.527,-41.992,-50.293,-36.133,-41.016,0.000
1709212374.531,-40.527,-45.410,-33.203,-34.668,0.000
1709212374.535,-40.039,-40.527,-37.109,-32.715,0.000
1709212374.539,-38.086,-46.875,-38.574,-31.738,0.000
1709212374.543,-38.574,-41.016,-34.180,-31.250,0.000
1709212374.547,-45.410,-41.504,-32.227,-36.621,0.000
1709212374.551,-50.293,-53.711,-36.133,-34.180,0.000
1709212374.555,-47.363,-46.875,-38.574,-31.250,0.000
1709212374.559,-42.480,-43.457,-36.133,-32.227,0.000
1709212374.563,-39.062,-53.711,-39.551,-35.156,0.000
1709212374.567,-44.434,-57.129,-42.969,-40.527,0.000
1709212374.570,-51.270,-52.734,-40.527,-40.527,0.000
1709212374.574,-47.363,-48.828,-38.574,-39.551,0.000
1709212374.578,-39.551,-38.086,-36.133,-42.480,0.000
1709212374.582,-39.551,-38.086,-35.645,-44.434,0.000
1709212374.586,-50.781,-45.898,-35.156,-51.270,0.000
1709212374.590,-58.594,-41.992,-36.133,-57.617,0.000
1709212374.594,-59.082,-49.316,-41.016,-49.805,0.000
