timestamps,TP9,AF7,AF8,TP10,Right AUX
1709140580.537,-38.574,-80.078,-20.020,-42.969,0.000
1709140580.541,-52.734,-45.898,-22.461,-40.527,0.000
1709140580.544,-64.453,-33.691,-33.691,-51.758,0.000
1709140580.548,-64.453,-39.062,-41.992,-48.828,0.000
1709140580.552,-57.129,-36.621,-29.297,-50.293,0.000
1709140580.556,-59.570,-41.016,-35.645,-62.012,0.000
1709140580.560,-64.941,-46.875,-54.199,-58.594,0.000
1709140580.564,-62.988,-49.805,-36.133,-56.641,0.000
1709140580.568,-55.664,-50.293,-24.902,-61.523,0.000
1709140580.572,-44.922,-54.199,-31.250,-53.223,0.000
1709140580.576,-47.363,-42.969,-39.551,-39.062,0.000
1709140580.580,-51.270,-38.086,-40.039,-41.992,0.000
1709140580.583,-41.016,-27.344,-34.180,-46.387,0.000
1709140580.587,-32.715,-24.902,-34.180,-47.852,0.000
1709140580.591,-29.297,-33.203,-32.715,-50.781,0.000
1709140580.595,-26.367,-35.156,-32.715,-40.039,0.000
1709140580.599,-13.672,-28.809,-37.598,-36.133,0.000
1709140580.603,-14.648,-25.391,-36.133,-34.180,0.000
1709140580.607,-15.625,-27.344,-43.945,-30.762,0.000
1709140580.611,-19.043,-30.273,-42.969,-31.250,0.000
1709140580.615,-20.996,-31.250,-30.273,-35.156,0.000
1709140580.618,-20.020,-29.785,-27.832,-40.039,0.000
1709140580.622,-16.113,-30.762,-32.715,-34.668,0.000
1709140580.626,-19.531,-35.645,-40.039,-45.898,0.000
1709140580.630,-31.250,-42.969,-34.668,-55.176,0.000
1709140580.634,-35.645,-39.551,-30.762,-52.246,0.000
1709140580.638,-33.203,-39.062,-35.156,-44.434,0.000
1709140580.642,-28.809,-41.992,-35.645,-42.969,0.000
1709140580.646,-29.785,-40.527,-44.922,-47.852,0.000
1709140580.649,-34.180,-50.293,-51.270,-52.246,0.000
1709140580.653,-38.086,-42.969,-43.457,-38.574,0.000
1709140580.657,-45.898,-23.926,-43.457,-32.715,0.000
1709140580.661,-44.434,-26.855,-40.039,-38.574,0.000
1709140580.665,-29.785,-29.785,-37.109,-30.273,0.000
1709140580.669,-33.203,-30.273,-28.320,-24.414,0.000
1709140580.673,-40.527,-44.434,-22.949,-34.180,0.000
1709140580.676,-38.574,-44.922,-22.949,-35.645,0.000
1709140580.680,-46.387,-44.922,-22.461,-37.109,0.000
1709140580.684,-44.434,-45.898,-31.250,-43.945,0.000
1709140580.688,-45.410,-47.363,-40.039,-54.199,0.000
1709140580.692,-52.734,-39.551,-36.133,-60.059,0.000
1709140580.696,-53.711,-41.504,-31.250,-46.387,0.000
1709140580.700,-50.293,-45.410,-36.621,-41.016,0.000
1709140580.704,-47.852,-33.203,-46.387,-39.062,0.000
1709140580.708,-45.898,-33.691,-39.551,-44.922,0.000
1709140580.712,-38.086,-34.180,-26.855,-41.992,0.000
1709140580.716,-38.086,-29.297,-26.855,-31.250,0.000
1709140580.719,-43.945,-50.781,-31.250,-31.738,0.000
1709140580.724,-39.551,-66.895,-32.715,-34.180,0.000
1709140580.727,-41.992,-47.363,-39.062,-42.969,0.000
1709140580.731,-50.293,-35.645,-41.504,-57.129,0.000
1709140580.735,-49.316,-33.691,-43.945,-61.035,0.000
1709140580.739,-43.945,-21.484,-49.316,-51.758,0.000
1709140580.743,-36.621,-32.227,-36.621,-36.133,0.000
1709140580.747,-37.598,-39.062,-38.574,-36.133,0.000
1709140580.751,-38.086,-39.551,-39.551,-40.039,0.000
1709140580.755,-41.016,-50.293,-34.668,-38.574,0.000
1709140580.759,-40.039,-48.340,-27.832,-35.156,0.000
1709140580.763,-37.598,-39.062,-26.367,-32.715,0.000
1709140580.767,-43.457,-28.809,-40.039,-37.109,0.000
1709140580.771,-45.410,-32.715,-43.457,-52.734,0.000
1709140580.774,-33.203,-40.527,-42.969,-57.617,0.000
1709140580.778,-36.621,-25.391,-47.852,-54.688,0.000
1709140580.782,-66.895,-16.113,-57.129,-60.059,0.000
1709140580.786,-63.477,-21.484,-47.852,-61.035,0.000
1709140580.790,-55.176,-40.039,-42.480,-61.523,0.000
1709140580.794,-66.406,-47.852,-52.246,-58.594,0.000
1709140580.798,-58.594,-23.926,-55.176,-49.316,0.000
