timestamps,TP9,AF7,AF8,TP10,Right AUX
1709299147.127,-57.617,-34.668,-33.691,-38.574,0.000
1709299147.131,-54.199,-33.691,-33.203,-26.855,0.000
1709299147.135,-43.945,-35.645,-38.086,-19.043,0.000
1709299147.139,-40.527,-36.621,-36.621,-26.855,0.000
1709299147.143,-47.852,-40.039,-30.762,-41.016,0.000
1709299147.146,-52.246,-48.828,-37.598,-48.340,0.000
1709299147.150,-51.758,-42.480,-40.527,-40.527,0.000
1709299147.154,-37.598,-31.250,-34.180,-23.926,0.000
1709299147.158,-28.809,-39.062,-33.691,-18.066,0.000
1709299147.162,-42.969,-41.992,-43.945,-37.598,0.000
1709299147.166,-53.711,-29.785,-45.898,-52.246,0.000
1709299147.170,-43.457,-24.414,-41.504,-41.992,0.000
1709299147.174,-28.320,-26.367,-44.922,-32.715,0.000
1709299147.178,-25.879,-36.133,-45.898,-31.738,0.000
1709299147.182,-39.062,-36.133,-41.992,-38.086,0.000
1709299147.186,-46.875,-34.668,-32.715,-46.875,0.000
1709299147.189,-41.504,-37.109,-29.297,-43.457,0.000
1709299147.193,-37.109,-29.297,-38.574,-26.855,0.000
1709299147.197,-31.738,-32.227,-45.410,-22.461,0.000
1709299147.201,-35.645,-37.598,-42.480,-32.227,0.000
1709299147.205,-45.410,-38.574,-38.574,-39.062,0.000
1709299147.209,-47.852,-37.109,-47.363,-41.992,0.000
1709299147.213,-39.551,-30.762,-43.457,-29.297,0.000
1709299147.217,-33.203,-31.250,-30.762,-19.531,0.000
1709299147.221,-39.551,-38.086,-28.320,-28.320,0.000
1709299147.225,-55.664,-40.527,-32.227,-38.574,0.000
1709299147.228,-57.129,-39.062,-32.715,-38.086,0.000
1709299147.232,-41.016,-43.945,-25.391,-24.902,0.000
1709299147.236,-34.668,-41.016,-30.273,-18.555,0.000
1709299147.240,-36.621,-32.227,-29.785,-31.250,0.000
1709299147.244,-49.316,-41.992,-30.273,-42.969,0.000
1709299147.248,-54.688,-47.363,-41.016,-33.203,0.000
1709299147.252,-43.945,-36.621,-38.574,-22.461,0.000
1709299147.256,-26.367,-31.250,-29.785,-16.113,0.000
1709299147.260,-26.367,-35.645,-24.902,-18.066,0.000
1709299147.264,-36.133,-36.621,-25.391,-27.344,0.000
1709299147.267,-28.809,-37.109,-30.273,-21.973,0.000
1709299147.271,-12.207,-38.574,-30.762,-10.254,0.000
1709299147.275,-7.324,-37.109,-35.156,-11.230,0.000
1709299147.279,-17.090,-45.410,-41.016,-20.996,0.000
1709299147.283,-35.156,-37.598,-36.133,-34.668,0.000
1709299147.287,-50.781,-31.738,-36.621,-52.246,0.000
1709299147.291,-44.434,-37.598,-35.156,-48.340,0.000
1709299147.295,-30.273,-32.715,-38.574,-31.738,0.000
1709299147.299,-31.738,-35.645,-36.133,-36.133,0.000
1709299147.303,-45.410,-44.434,-33.691,-46.875,0.000
1709299147.306,-50.293,-43.945,-33.691,-49.805,0.000
1709299147.310,-36.133,-39.062,-30.273,-33.203,0.000
1709299147.314,-26.855,-35.156,-36.621,-27.344,0.000
1709299147.318,-19.043,-37.598,-34.180,-29.297,0.000
1709299147.322,-33.691,-41.992,-39.062,-48.340,0.000
1709299147.326,-51.270,-32.715,-46.387,-55.176,0.000
1709299147.330,-41.992,-29.785,-33.203,-41.504,0.000
1709299147.334,-28.320,-36.133,-27.832,-32.227,0.000
1709299147.338,-27.832,-49.316,-31.738,-22.949,0.000
1709299147.342,-39.551,-54.199,-30.273,-31.738,0.000
1709299147.345,-48.828,-42.480,-28.320,-38.086,0.000
1709299147.349,-40.527,-35.156,-26.367,-28.320,0.000
1709299147.353,-21.973,-33.691,-27.344,-18.555,0.000
1709299147.357,-20.020,-38.086,-33.691,-17.578,0.000
1709299147.361,-34.180,-48.340,-41.504,-37.109,0.000
1709299147.365,-48.828,-42.969,-41.016,-48.340,0.000
1709299147.369,-41.016,-30.273,-29.785,-32.227,0.000
1709299147.373,-27.832,-37.598,-30.762,-20.020,0.000
1709299147.377,-32.227,-44.434,-32.227,-26.367,0.000
1709299147.380,-35.645,-37.109,-31.250,-31.738,0.000
1709299147.384,-37.598,-36.133,-33.203,-38.086,0.000
1709299147.388,-42.480,-34.180,-39.062,-48.340,0.000
1709299147.392,-29.297,-28.320,-46.875,-43.457,0.000
1709299147.396,-18.555,-27.832,-43.457,-32.715,0.000
1709299147.400,-27.344,-37.598,-29.785,-36.133,0.000
1709299147.404,-41.992,-36.133,-25.391,-48.340,0.000
1709299147.408,-48.340,-32.227,-35.645,-47.363,0.000
1709299147.412,-39.551,-36.621,-37.598,-36.621,0.000
1709299147.416,-27.344,-35.156,-37.598,-34.668,0.000
1709299147.420,-27.344,-28.320,-36.133,-39.062,0.000
1709299147.424,-36.621,-31.250,-38.086,-50.293,0.000
1709299147.427,-51.270,-42.969,-46.875,-55.664,0.000
1709299147.431,-51.758,-34.668,-45.898,-45.898,0.000
1709299147.435,-35.645,-35.156,-47.852,-30.273,0.000
1709299147.439,-30.273,-41.504,-40.527,-23.926,0.000
1709299147.443,-41.016,-40.527,-36.133,-32.715,0.000
