timestamps,TP9,AF7,AF8,TP10,Right AUX
1709374364.983,15.625,-26.367,-31.250,10.742,0.000
1709374364.986,-20.020,-28.320,-32.715,-18.066,0.000
1709374364.990,-55.176,-31.250,-36.621,-51.270,0.000
1709374364.994,-54.688,-36.133,-32.715,-50.293,0.000
1709374364.998,-23.926,-33.691,-34.180,-19.531,0.000
1709374365.002,12.695,-33.203,-39.062,6.348,0.000
1709374365.006,-18.066,-31.738,-37.109,-26.855,0.000
1709374365.010,-56.152,-33.203,-36.621,-58.105,0.000
1709374365.014,-56.152,-37.109,-40.039,-49.316,0.000
1709374365.018,-35.645,-38.574,-44.922,-29.785,0.000
1709374365.022,0.977,-42.480,-48.828,-1.465,0.000
1709374365.026,-11.719,-40.527,-38.086,-9.277,0.000
1709374365.030,-49.805,-33.691,-36.621,-50.781,0.000
1709374365.033,-54.688,-31.738,-41.504,-63.477,0.000
1709374365.037,-36.621,-34.180,-39.551,-46.387,0.000
1709374365.041,9.277,-34.668,-42.480,-7.324,0.000
1709374365.045,4.395,-32.715,-43.945,-19.531,0.000
1709374365.049,-45.410,-32.227,-40.527,-60.547,0.000
1709374365.053,-55.176,-27.832,-32.715,-69.336,0.000
1709374365.057,-37.109,-25.391,-25.879,-50.293,0.000
1709374365.061,-5.859,-34.180,-27.832,-1.953,0.000
1709374365.065,-10.254,-39.062,-34.180,-9.277,0.000
1709374365.069,-53.711,-39.551,-35.156,-51.758,0.000
1709374365.072,-68.359,-39.551,-36.621,-63.477,0.000
1709374365.076,-47.363,-37.109,-38.086,-43.945,0.000
1709374365.080,-9.277,-36.621,-39.062,-4.883,0.000
1709374365.084,-10.742,-39.062,-38.574,-6.836,0.000
1709374365.088,-55.664,-40.039,-39.062,-50.781,0.000
1709374365.092,-74.219,-40.039,-39.551,-65.430,0.000
1709374365.096,-55.664,-39.062,-35.645,-52.246,0.000
1709374365.100,-10.742,-39.062,-37.598,-21.484,0.000
1709374365.104,10.254,-42.480,-39.062,-4.883,0.000
1709374365.108,-37.598,-42.480,-40.039,-36.621,0.000
1709374365.111,-65.430,-45.410,-38.574,-69.824,0.000
1709374365.115,-55.176,-48.828,-38.086,-65.430,0.000
