timestamps,TP9,AF7,AF8,TP10,Right AUX
1709291350.039,-20.996,-62.500,-31.738,0.000,0.000
1709291350.043,-35.156,-53.711,-29.297,0.000,0.000
1709291350.047,-33.203,-58.594,-34.180,0.000,0.000
1709291350.051,-20.508,-60.547,-35.645,0.000,0.000
1709291350.055,-14.160,-50.293,-30.273,0.000,0.000
1709291350.059,-18.066,-61.523,-31.738,0.000,0.000
1709291350.063,-26.367,-63.965,-33.203,0.000,0.000
1709291350.067,-47.363,-77.148,-36.621,0.000,0.000
1709291350.071,-46.875,-75.684,-46.875,0.000,0.000
1709291350.075,-21.484,-34.180,-38.086,0.000,0.000
1709291350.078,-30.762,-39.062,-38.086,0.000,0.000
1709291350.082,-38.574,-59.570,-41.992,0.000,0.000
1709291350.086,-31.250,-52.734,-32.715,-27.344,0.000
1709291350.090,-21.973,-45.410,-29.785,-16.113,0.000
1709291350.094,-11.719,-51.270,-32.227,-6.836,0.000
1709291350.098,-18.555,-58.594,-35.645,-16.602,0.000
1709291350.102,-32.227,-52.246,-33.203,-37.598,0.000
1709291350.106,-35.645,-51.270,-33.691,-35.645,0.000
1709291350.110,-18.066,-55.176,-37.598,-13.184,0.000
1709291350.114,-19.043,-75.684,-40.527,3.418,0.000
1709291350.117,-40.527,-58.105,-47.363,-28.809,0.000
1709291350.121,-47.363,-42.969,-41.992,-55.664,0.000
1709291350.125,-36.133,-46.875,-35.156,-38.574,0.000
1709291350.129,-29.297,-48.828,-34.668,-18.066,0.000
1709291350.133,-28.809,-46.875,-37.109,-18.066,0.000
1709291350.137,-27.832,-46.875,-38.574,-18.555,0.000
1709291350.141,-35.156,-61.523,-39.062,-32.227,0.000
1709291350.145,-22.461,-62.012,-42.969,-33.203,0.000
1709291350.149,-13.184,-51.758,-40.527,-22.949,0.000
1709291350.152,-22.461,-62.500,-35.645,-9.766,0.000
1709291350.156,-25.391,-75.684,-36.133,-9.766,0.000
1709291350.160,-25.879,-73.242,-38.086,-22.461,0.000
1709291350.164,-32.227,-42.480,-41.016,-31.250,0.000
1709291350.168,-21.973,-37.109,-41.992,-27.832,0.000
1709291350.172,-16.113,-59.082,-38.574,-26.855,0.000
1709291350.176,-22.461,-52.734,-38.574,-9.277,0.000
1709291350.180,-26.367,-46.875,-40.527,-22.461,0.000
1709291350.184,-32.715,-62.500,-39.062,-41.504,0.000
1709291350.187,-39.062,-71.289,-34.180,-31.250,0.000
1709291350.191,-37.598,-58.594,-34.180,-27.832,0.000
1709291350.195,-22.949,-47.363,-33.691,-15.625,0.000
1709291350.199,-27.832,-60.547,-35.156,-32.227,0.000
1709291350.203,-45.898,-86.914,-32.227,-43.945,0.000
1709291350.207,-44.922,-60.547,-26.855,-22.949,0.000
1709291350.211,-30.762,-45.410,-30.273,-14.160,0.000
1709291350.215,-19.531,-66.406,-32.715,-19.043,0.000
1709291350.219,-40.527,-67.871,-30.762,-33.691,0.000
1709291350.223,-42.480,-51.270,-28.320,-34.668,0.000
1709291350.226,-32.715,-44.434,-32.227,-23.926,0.000
1709291350.230,-31.738,-61.523,-32.227,-17.578,0.000
1709291350.234,-29.297,-67.871,-32.227,-28.320,0.000
1709291350.238,-29.785,-65.918,-31.250,-36.621,0.000
1709291350.242,-35.645,-76.660,-25.879,-28.809,0.000
1709291350.246,-32.715,-76.172,-28.809,-19.043,0.000
1709291350.250,-24.902,-61.523,-35.156,-1.953,0.000
1709291350.254,-23.926,-40.039,-26.367,-2.930,0.000
1709291350.257,-23.926,-48.340,-22.949,-18.555,0.000
1709291350.261,-32.715,-73.242,-31.738,-41.504,0.000
1709291350.265,-35.645,-62.988,-34.668,-43.945,0.000
1709291350.269,-33.203,-52.734,-32.715,-32.227,0.000
1709291350.273,-31.250,-64.453,-38.574,-11.719,0.000
1709291350.277,-22.461,-65.918,-33.203,-11.230,0.000
1709291350.281,-28.320,-58.594,-30.762,-35.645,0.000
1709291350.285,-44.922,-67.871,-38.574,-45.410,0.000
1709291350.289,-47.852,-73.242,-35.156,-36.133,0.000
1709291350.293,-32.715,-74.219,-31.250,-15.137,0.000
1709291350.297,-28.809,-70.312,-33.203,-16.113,0.000
1709291350.301,-42.969,-52.734,-39.062,-41.016,0.000
1709291350.305,-44.434,-52.246,-37.598,-47.363,0.000
