timestamps,TP9,AF7,AF8,TP10,Right AUX
1709297946.067,-31.250,-36.133,-41.992,-22.461,0.000
1709297946.071,-26.367,-36.621,-40.039,-18.555,0.000
1709297946.075,-34.180,-40.527,-41.992,-25.879,0.000
1709297946.079,-37.598,-37.109,-47.363,-33.691,0.000
1709297946.083,-31.738,-37.109,-48.828,-29.297,0.000
1709297946.087,-31.738,-40.527,-48.828,-25.879,0.000
1709297946.091,-31.738,-36.133,-45.898,-25.391,0.000
1709297946.095,-33.203,-35.645,-40.039,-29.297,0.000
1709297946.098,-36.133,-36.621,-37.598,-36.621,0.000
1709297946.102,-36.133,-33.691,-37.598,-32.227,0.000
1709297946.106,-26.367,-30.762,-34.180,-27.344,0.000
1709297946.110,-23.438,-32.227,-33.203,-17.090,0.000
1709297946.114,-33.691,-36.133,-38.574,-26.855,0.000
1709297946.118,-36.133,-38.086,-39.062,-36.133,0.000
1709297946.122,-32.715,-36.133,-33.691,-26.855,0.000
1709297946.126,-29.297,-34.180,-35.645,-25.879,0.000
1709297946.130,-30.273,-37.109,-40.039,-27.832,0.000
1709297946.134,-29.297,-37.598,-38.086,-21.484,0.000
1709297946.137,-31.738,-36.133,-38.086,-26.367,0.000
1709297946.141,-28.809,-32.715,-38.574,-38.574,0.000
1709297946.145,-27.832,-31.738,-39.551,-27.832,0.000
1709297946.149,-33.691,-30.273,-40.527,-14.648,0.000
1709297946.153,-25.391,-28.320,-38.086,-23.926,0.000
1709297946.157,-23.438,-24.902,-39.551,-36.621,0.000
1709297946.161,-24.414,-27.344,-40.039,-45.410,0.000
1709297946.165,-28.320,-33.691,-42.969,-40.039,0.000
1709297946.169,-32.227,-30.273,-47.363,-26.855,0.000
1709297946.173,-31.738,-28.809,-40.527,-28.809,0.000
1709297946.177,-31.738,-31.250,-37.598,-33.691,0.000
1709297946.181,-27.832,-29.785,-37.598,-28.320,0.000
1709297946.184,-30.762,-30.762,-36.133,-24.902,0.000
1709297946.188,-31.250,-32.227,-36.133,-26.367,0.000
1709297946.192,-36.133,-32.715,-36.133,-30.273,0.000
1709297946.196,-44.922,-31.738,-32.715,-39.062,0.000
1709297946.200,-42.480,-32.715,-32.227,-44.922,0.000
1709297946.204,-40.039,-34.668,-34.668,-39.062,0.000
1709297946.208,-37.598,-34.668,-29.785,-25.879,0.000
1709297946.212,-33.203,-32.227,-29.297,-24.902,0.000
1709297946.216,-33.203,-30.762,-36.133,-40.039,0.000
1709297946.220,-39.551,-30.762,-38.086,-43.945,0.000
1709297946.224,-43.945,-34.668,-38.086,-36.621,0.000
1709297946.227,-44.434,-41.504,-40.039,-27.832,0.000
1709297946.231,-42.969,-41.016,-44.434,-23.926,0.000
1709297946.235,-39.062,-37.598,-43.457,-29.297,0.000
1709297946.239,-35.156,-40.039,-37.598,-27.832,0.000
1709297946.243,-32.715,-39.551,-37.109,-20.020,0.000
1709297946.247,-36.133,-37.109,-38.574,-18.066,0.000
1709297946.251,-40.527,-33.203,-38.574,-21.973,0.000
1709297946.255,-40.039,-26.855,-38.574,-37.109,0.000
1709297946.259,-44.434,-33.203,-41.992,-46.875,0.000
1709297946.263,-49.316,-38.086,-41.504,-48.828,0.000
1709297946.267,-52.734,-37.598,-41.504,-40.039,0.000
1709297946.270,-55.176,-40.527,-40.039,-37.109,0.000
1709297946.274,-54.199,-42.969,-34.180,-42.480,0.000
1709297946.278,-53.223,-41.992,-32.227,-44.922,0.000
1709297946.282,-47.852,-41.504,-35.645,-41.016,0.000
1709297946.286,-45.410,-42.969,-39.062,-29.785,0.000
1709297946.290,-49.316,-43.457,-41.016,-33.691,0.000
1709297946.294,-45.898,-41.504,-40.527,-49.316,0.000
1709297946.298,-41.504,-40.527,-41.016,-51.270,0.000
1709297946.302,-40.527,-38.574,-43.457,-44.922,0.000
1709297946.306,-39.551,-37.598,-41.016,-35.156,0.000
1709297946.310,-42.480,-36.621,-34.180,-35.156,0.000
1709297946.313,-38.086,-33.203,-28.809,-40.527,0.000
1709297946.317,-39.062,-35.156,-24.902,-45.410,0.000
1709297946.321,-43.457,-37.109,-27.344,-39.062,0.000
1709297946.325,-45.410,-36.133,-32.227,-32.227,0.000
1709297946.329,-50.781,-35.645,-34.668,-27.344,0.000
1709297946.333,-56.641,-38.086,-34.668,-28.809,0.000
1709297946.337,-58.594,-37.109,-38.574,-45.410,0.000
1709297946.341,-52.246,-33.691,-39.062,-46.387,0.000
1709297946.345,-49.316,-35.156,-41.504,-31.738,0.000
1709297946.349,-56.152,-35.645,-45.410,-27.832,0.000
1709297946.352,-61.523,-35.156,-42.969,-37.598,0.000
1709297946.356,-62.012,-40.039,-42.480,-46.875,0.000
1709297946.360,-55.664,-37.109,-38.574,-49.805,0.000
1709297946.364,-54.688,-33.691,-34.668,-44.434,0.000
1709297946.368,-55.176,-36.133,-34.668,-34.668,0.000
1709297946.372,-51.270,-36.133,-35.156,-35.645,0.000
1709297946.376,-57.617,-40.527,-39.551,-46.875,0.000
1709297946.380,-62.500,-42.480,-42.480,-50.781,0.000
1709297946.384,-59.570,-41.504,-40.527,-46.875,0.000
1709297946.388,-55.664,-41.504,-37.109,-38.086,0.000
1709297946.392,-51.758,-39.062,-39.062,-41.992,0.000
1709297946.395,-53.223,-40.039,-41.016,-52.734,0.000
1709297946.399,-54.688,-43.945,-41.992,-55.176,0.000
1709297946.403,-41.016,-35.156,-41.992,-48.340,0.000
1709297946.407,-34.668,-33.203,-38.086,-34.668,0.000
1709297946.411,-40.039,-38.086,-34.180,-32.227,0.000
1709297946.415,-41.992,-33.203,-36.133,-46.875,0.000
1709297946.419,-37.109,-32.227,-40.527,-55.176,0.000
1709297946.423,-31.250,-32.227,-38.574,-42.969,0.000
1709297946.427,-29.297,-28.320,-34.668,-27.832,0.000
