timestamps,TP9,AF7,AF8,TP10,Right AUX
1709140649.013,-52.246,-27.832,-41.016,-53.711,0.000
1709140649.017,-41.016,-39.551,-40.039,-45.898,0.000
1709140649.021,-43.945,-35.156,-24.414,-42.969,0.000
1709140649.025,-48.340,-31.250,-20.020,-50.781,0.000
1709140649.029,-56.641,-36.133,-22.461,-57.617,0.000
1709140649.033,-57.617,-50.293,-22.949,-51.270,0.000
1709140649.037,-39.062,-58.594,-27.832,-41.992,0.000
1709140649.040,-34.180,-44.922,-31.250,-39.062,0.000
1709140649.044,-37.598,-22.461,-35.156,-46.387,0.000
1709140649.048,-38.574,-18.555,-37.109,-42.480,0.000
1709140649.052,-39.062,-36.133,-32.227,-38.086,0.000
1709140649.056,-29.297,-29.785,-23.438,-32.227,0.000
1709140649.060,-18.555,-32.227,-22.949,-29.297,0.000
1709140649.064,-16.602,-40.527,-34.668,-23.926,0.000
1709140649.068,-14.648,-51.758,-28.320,-23.926,0.000
1709140649.071,-22.461,-44.434,-25.391,-31.250,0.000
1709140649.075,-22.461,-24.902,-40.527,-30.762,0.000
1709140649.079,-18.066,-31.250,-36.133,-32.715,0.000
1709140649.083,-27.344,-42.480,-26.855,-28.809,0.000
1709140649.087,-29.785,-32.715,-29.785,-32.227,0.000
1709140649.091,-31.738,-25.879,-23.926,-39.551,0.000
1709140649.095,-29.785,-40.527,-15.137,-26.367,0.000
1709140649.099,-29.785,-48.340,-22.949,-16.602,0.000
1709140649.103,-32.227,-41.992,-34.180,-24.414,0.000
1709140649.106,-21.484,-36.621,-37.109,-31.738,0.000
1709140649.110,-37.109,-38.574,-33.203,-34.668,0.000
1709140649.114,-53.711,-49.316,-26.855,-40.039,0.000
1709140649.118,-45.410,-50.293,-33.203,-40.527,0.000
1709140649.122,-37.598,-48.340,-41.016,-38.574,0.000
1709140649.126,-41.992,-43.945,-30.273,-40.039,0.000
1709140649.130,-50.293,-42.969,-17.090,-28.809,0.000
1709140649.134,-48.828,-43.457,-16.602,-37.598,0.000
1709140649.138,-46.387,-31.738,-24.414,-48.340,0.000
1709140649.141,-50.293,-32.715,-25.391,-41.504,0.000
1709140649.145,-52.734,-42.969,-24.902,-39.062,0.000
1709140649.149,-52.246,-37.598,-31.738,-38.086,0.000
1709140649.154,-59.570,-31.250,-36.133,-44.434,0.000
1709140649.157,-50.293,-41.504,-33.691,-47.363,0.000
1709140649.161,-38.086,-58.105,-39.062,-48.340,0.000
1709140649.165,-45.410,-37.109,-45.898,-52.734,0.000
1709140649.169,-49.805,-19.043,-42.480,-57.617,0.000
1709140649.173,-41.504,-30.273,-25.879,-44.922,0.000
1709140649.177,-43.457,-46.387,-23.926,-41.504,0.000
1709140649.181,-40.039,-46.875,-31.738,-55.664,0.000
1709140649.185,-36.621,-25.391,-30.762,-60.547,0.000
1709140649.189,-50.781,-27.832,-35.645,-53.711,0.000
1709140649.193,-53.223,-50.781,-40.039,-51.270,0.000
1709140649.197,-49.316,-40.039,-33.691,-49.316,0.000
1709140649.201,-38.086,-24.414,-29.297,-37.109,0.000
1709140649.205,-33.691,-27.832,-36.133,-33.203,0.000
1709140649.208,-38.574,-20.508,-42.480,-33.203,0.000
1709140649.212,-36.133,-20.020,-43.457,-29.297,0.000
1709140649.216,-25.879,-36.133,-33.203,-21.973,0.000
1709140649.220,-20.020,-41.016,-21.973,-9.766,0.000
1709140649.224,-25.879,-43.945,-24.414,-15.625,0.000
1709140649.228,-37.109,-42.969,-29.297,-17.090,0.000
1709140649.232,-40.039,-41.504,-32.227,-18.555,0.000
1709140649.236,-28.320,-39.551,-30.273,-26.855,0.000
1709140649.240,-25.879,-33.203,-34.668,-20.996,0.000
1709140649.244,-31.738,-19.531,-43.457,-27.832,0.000
1709140649.248,-40.039,-29.785,-41.504,-41.504,0.000
1709140649.252,-44.922,-36.133,-38.086,-39.062,0.000
1709140649.255,-36.133,-39.551,-37.109,-30.762,0.000
1709140649.259,-36.133,-44.922,-30.762,-31.738,0.000
1709140649.263,-24.902,-35.645,-23.438,-25.391,0.000
1709140649.267,-2.441,-41.016,-24.414,-24.414,0.000
1709140649.271,-10.254,-42.480,-25.391,-31.738,0.000
1709140649.275,-21.484,-32.227,-23.926,-22.949,0.000
1709140649.279,-16.602,-28.809,-33.691,-8.301,0.000
1709140649.283,-12.695,-18.066,-45.898,-20.508,0.000
1709140649.287,-15.625,-14.160,-45.898,-44.434,0.000
1709140649.291,-26.367,-19.043,-41.016,-37.598,0.000
1709140649.294,-27.832,-29.297,-50.293,-20.020,0.000
1709140649.298,-22.949,-33.691,-51.758,-20.996,0.000
1709140649.302,-24.414,-41.992,-40.039,-33.691,0.000
1709140649.306,-20.020,-54.688,-36.621,-34.668,0.000
1709140649.310,-30.762,-49.805,-33.203,-36.133,0.000
1709140649.314,-29.785,-46.875,-32.227,-27.832,0.000
1709140649.318,-16.113,-49.805,-42.969,-17.090,0.000
1709140649.322,-13.184,-48.340,-33.203,-16.113,0.000
1709140649.326,-29.785,-50.781,-20.996,-17.090,0.000
1709140649.330,-33.691,-59.570,-31.738,-28.809,0.000
1709140649.334,-22.949,-50.293,-30.762,-24.902,0.000
1709140649.337,-22.461,-45.898,-26.367,-12.695,0.000
