timestamps,TP9,AF7,AF8,TP10,Right AUX
1709374075.385,-63.477,-38.086,-36.133,-53.711,0.000
1709374075.389,-26.367,-38.574,-37.598,-23.438,0.000
1709374075.393,-2.930,-37.598,-41.992,-5.371,0.000
1709374075.397,-28.320,-37.109,-41.504,-23.438,0.000
1709374075.401,-51.270,-34.668,-38.574,-41.016,0.000
1709374075.405,-48.340,-27.344,-37.109,-38.574,0.000
1709374075.409,-28.320,-28.320,-39.551,-22.949,0.000
1709374075.413,-2.441,-33.203,-42.480,-10.742,0.000
1709374075.417,-23.926,-35.645,-38.574,-32.715,0.000
1709374075.421,-58.594,-37.109,-37.598,-59.082,0.000
1709374075.424,-62.012,-34.668,-33.691,-51.758,0.000
1709374075.428,-39.551,-35.156,-32.715,-38.574,0.000
1709374075.432,-5.859,-36.621,-40.039,-19.043,0.000
1709374075.436,-18.066,-34.180,-39.551,-22.461,0.000
1709374075.440,-56.152,-32.227,-33.691,-45.898,0.000
1709374075.444,-62.012,-37.109,-40.039,-52.246,0.000
1709374075.448,-38.574,-36.133,-42.480,-39.551,0.000
1709374075.452,-0.488,-35.645,-39.062,-14.160,0.000
1709374075.456,-9.766,-37.598,-37.109,-23.438,0.000
1709374075.460,-47.852,-36.621,-35.645,-59.570,0.000
1709374075.464,-58.105,-38.086,-36.621,-62.012,0.000
1709374075.468,-41.504,-41.016,-36.621,-38.574,0.000
1709374075.472,-2.441,-38.574,-37.109,-13.184,0.000
1709374075.475,-6.348,-37.109,-36.621,-23.438,0.000
1709374075.479,-52.734,-39.062,-34.180,-52.246,0.000
1709374075.483,-59.082,-35.156,-33.203,-49.316,0.000
1709374075.487,-37.598,-28.320,-31.738,-35.156,0.000
1709374075.491,-2.441,-28.809,-33.691,-13.184,0.000
1709374075.495,5.371,-31.250,-37.109,-10.254,0.000
1709374075.499,-30.273,-28.809,-34.668,-40.039,0.000
1709374075.503,-57.617,-32.715,-34.180,-46.387,0.000
1709374075.507,-56.152,-36.621,-36.621,-37.598,0.000
1709374075.511,-17.578,-39.062,-35.156,-14.648,0.000
1709374075.515,-3.906,-37.109,-35.156,-5.859,0.000
1709374075.519,-42.480,-35.645,-34.668,-43.945,0.000
1709374075.522,-66.895,-37.598,-33.691,-60.547,0.000
1709374075.526,-62.500,-37.598,-32.715,-49.805,0.000
1709374075.530,-30.273,-38.574,-36.621,-32.715,0.000
1709374075.534,-11.719,-40.039,-39.062,-24.414,0.000
1709374075.538,-40.527,-42.969,-40.527,-45.898,0.000
1709374075.542,-60.547,-41.504,-42.480,-61.523,0.000
1709374075.546,-51.270,-37.598,-41.992,-58.594,0.000
1709374075.550,-20.020,-35.156,-42.480,-35.645,0.000
1709374075.554,3.418,-34.180,-39.551,-17.578,0.000
1709374075.558,-21.973,-33.203,-35.156,-34.668,0.000
1709374075.562,-52.734,-34.668,-36.621,-49.805,0.000
1709374075.565,-49.316,-38.086,-37.598,-48.340,0.000
1709374075.569,-20.020,-42.480,-41.016,-28.320,0.000
1709374075.573,5.371,-43.945,-41.992,-4.883,0.000
1709374075.577,-23.926,-39.551,-44.434,-30.273,0.000
1709374075.581,-61.523,-37.598,-43.457,-56.152,0.000
1709374075.585,-56.152,-39.062,-40.527,-53.223,0.000
1709374075.589,-26.855,-36.133,-40.527,-37.109,0.000
1709374075.593,2.930,-36.133,-43.945,-10.742,0.000
1709374075.597,-22.949,-39.551,-41.504,-20.996,0.000
1709374075.601,-64.453,-37.598,-35.645,-39.062,0.000
1709374075.605,-68.359,-40.039,-37.109,-29.297,0.000
1709374075.608,-50.781,-45.410,-43.457,-25.879,0.000
1709374075.612,-15.137,-41.504,-43.457,-6.836,0.000
1709374075.616,-20.996,-41.016,-39.551,-7.812,0.000
1709374075.620,-60.059,-42.969,-39.062,-34.180,0.000
1709374075.624,-57.617,-40.527,-35.156,-39.062,0.000
