timestamps,TP9,AF7,AF8,TP10,Right AUX
1709206147.948,-54.199,-41.504,-26.855,-19.531,0.000
1709206147.951,-59.082,-47.363,-26.367,-25.391,0.000
1709206147.955,-64.941,-49.316,-26.367,-38.574,0.000
1709206147.959,-51.758,-48.340,-25.391,-41.016,0.000
1709206147.963,-56.152,-52.246,-22.949,-41.992,0.000
1709206147.967,-82.031,-55.176,-23.438,-41.504,0.000
1709206147.971,-72.266,-57.617,-24.414,-46.387,0.000
1709206147.975,-62.500,-52.734,-24.414,-61.035,0.000
1709206147.979,-69.336,-59.082,-32.227,-63.477,0.000
1709206147.983,-60.547,-64.453,-37.109,-48.828,0.000
1709206147.987,-53.223,-43.457,-31.738,-49.805,0.000
1709206147.991,-43.945,-42.480,-31.250,-50.781,0.000
1709206147.994,-38.086,-48.340,-35.156,-49.316,0.000
1709206147.998,-53.223,-45.898,-38.574,-60.547,0.000
1709206148.002,-59.082,-45.410,-38.086,-67.383,0.000
1709206148.006,-60.059,-46.875,-35.156,-58.594,0.000
1709206148.010,-47.852,-41.992,-32.227,-55.176,0.000
1709206148.014,-38.086,-40.527,-32.227,-58.105,0.000
1709206148.018,-32.715,-42.969,-33.203,-56.152,0.000
1709206148.022,-33.691,-41.016,-33.691,-57.129,0.000
1709206148.026,-36.133,-44.922,-29.297,-45.410,0.000
1709206148.030,-27.832,-37.109,-28.809,-46.875,0.000
1709206148.034,-24.902,-33.691,-35.645,-49.805,0.000
1709206148.037,-39.062,-48.828,-31.738,-43.457,0.000
1709206148.041,-46.387,-48.340,-31.738,-46.387,0.000
1709206148.045,-41.504,-40.039,-34.668,-36.621,0.000
1709206148.049,-36.133,-40.039,-33.203,-27.832,0.000
1709206148.053,-33.691,-44.434,-34.668,-29.785,0.000
1709206148.057,-29.297,-45.898,-32.227,-33.691,0.000
1709206148.061,-35.645,-42.480,-31.738,-30.273,0.000
1709206148.065,-30.273,-41.504,-33.203,-21.484,0.000
1709206148.069,-23.438,-58.594,-31.738,-14.160,0.000
1709206148.073,-45.410,-59.570,-35.645,-20.996,0.000
1709206148.077,-47.363,-39.551,-36.621,-41.992,0.000
1709206148.080,-41.504,-40.039,-35.645,-47.852,0.000
1709206148.084,-50.781,-46.387,-38.086,-44.922,0.000
1709206148.088,-48.340,-45.898,-31.738,-43.457,0.000
1709206148.092,-43.457,-49.316,-30.273,-52.246,0.000
1709206148.096,-59.570,-57.617,-38.574,-62.988,0.000
1709206148.100,-52.734,-55.176,-35.156,-62.500,0.000
1709206148.104,-58.105,-49.316,-29.297,-61.523,0.000
1709206148.108,-77.637,-50.293,-31.250,-55.176,0.000
1709206148.112,-56.641,-48.828,-35.156,-53.711,0.000
1709206148.116,-43.945,-53.223,-27.832,-39.551,0.000
1709206148.120,-45.410,-48.828,-26.367,-32.227,0.000
1709206148.123,-41.016,-35.645,-30.762,-47.852,0.000
1709206148.127,-41.992,-47.852,-31.250,-35.156,0.000
1709206148.131,-44.434,-48.340,-30.762,-20.508,0.000
1709206148.135,-29.785,-39.062,-27.344,-26.855,0.000
1709206148.139,-46.875,-43.945,-28.320,-35.645,0.000
1709206148.143,-57.129,-49.805,-26.855,-37.598,0.000
1709206148.147,-40.527,-44.922,-28.809,-31.738,0.000
1709206148.151,-41.016,-37.598,-32.227,-31.738,0.000
1709206148.155,-46.387,-40.039,-34.668,-40.039,0.000
1709206148.159,-45.410,-49.316,-30.762,-41.504,0.000
1709206148.162,-45.410,-52.246,-27.832,-31.738,0.000
1709206148.166,-46.387,-40.039,-34.668,-38.574,0.000
1709206148.170,-50.293,-40.527,-36.133,-42.969,0.000
1709206148.174,-42.969,-39.551,-34.180,-44.922,0.000
1709206148.178,-36.133,-38.574,-33.203,-43.457,0.000
1709206148.182,-48.340,-42.480,0.000,-30.273,0.000
1709206148.186,-41.992,-50.781,0.000,-33.203,0.000
1709206148.190,-38.574,-53.223,0.000,-41.016,0.000
1709206148.194,-47.852,-41.992,0.000,-45.898,0.000
1709206148.198,-50.293,-40.039,0.000,-41.504,0.000
1709206148.202,-50.781,-47.363,0.000,-40.039,0.000
1709206148.205,-53.223,-55.664,0.000,-36.133,0.000
1709206148.209,-52.246,-44.434,0.000,-38.086,0.000
1709206148.213,-45.898,-33.691,0.000,-49.316,0.000
1709206148.217,-46.387,-47.363,0.000,-48.340,0.000
1709206148.221,-56.152,-49.316,0.000,-44.922,0.000
1709206148.225,-58.594,-41.504,0.000,-44.922,0.000
1709206148.229,-46.875,-42.969,-36.621,-51.270,0.000
1709206148.233,-42.480,-47.852,-33.203,-38.574,0.000
1709206148.237,-57.129,-51.270,-34.668,-40.527,0.000
1709206148.241,-53.223,-44.434,-37.598,-44.922,0.000
1709206148.245,-56.152,-44.922,-34.180,-41.016,0.000
1709206148.248,-57.617,-56.152,-35.645,-39.062,0.000
1709206148.252,-41.016,-59.082,-29.785,-22.949,0.000
1709206148.256,-43.945,-45.898,-30.273,-28.809,0.000
1709206148.260,-54.688,-43.945,-36.133,-47.852,0.000
1709206148.264,-57.617,-55.664,-32.715,-51.758,0.000
1709206148.268,-49.316,-55.176,-34.668,-53.711,0.000
1709206148.272,-51.270,-53.223,-38.574,-57.129,0.000
1709206148.276,-61.035,-52.246,-38.086,-56.641,0.000
1709206148.280,-48.828,-50.781,-37.598,-55.176,0.000
1709206148.284,-45.898,-50.293,-35.645,-44.922,0.000
1709206148.288,-45.898,-41.992,-35.156,-36.133,0.000
1709206148.291,-42.969,-41.016,-36.621,-39.551,0.000
1709206148.295,-50.781,-47.363,-40.527,-45.898,0.000
1709206148.299,-43.457,-48.340,-38.086,-44.922,0.000
1709206148.303,-37.109,-42.480,-37.598,-38.086,0.000
1709206148.307,-19.043,-41.016,-42.969,-38.086,0.000
1709206148.311,-11.230,-50.293,-40.039,-24.414,0.000
1709206148.315,-29.297,-37.109,-31.738,-25.391,0.000
1709206148.319,-42.969,-33.203,-29.785,-47.852,0.000
1709206148.323,-48.828,-45.898,-30.273,-42.969,0.000
1709206148.327,-40.527,-44.922,-27.832,-36.133,0.000
1709206148.331,-46.875,-39.062,-30.273,-37.109,0.000
1709206148.334,-49.316,-41.992,-34.180,-45.898,0.000
1709206148.338,-44.922,-49.316,-30.273,-43.945,0.000
1709206148.342,-53.711,-55.176,-32.715,-43.945,0.000
1709206148.346,-60.547,-53.223,-40.039,-51.270,0.000
1709206148.350,-44.434,-43.945,-40.527,-46.387,0.000
1709206148.354,-30.762,-49.805,-41.992,-39.551,0.000
1709206148.358,-41.504,-54.199,-41.992,-31.738,0.000
1709206148.362,-46.875,-44.922,-43.457,-41.992,0.000
1709206148.366,-48.828,-41.992,-41.992,-48.828,0.000
1709206148.370,-46.875,-45.898,-42.480,-62.012,0.000
1709206148.374,-43.457,-45.898,-44.922,-73.730,0.000
1709206148.377,-36.133,-40.039,-45.898,-64.453,0.000
1709206148.381,-29.785,-44.434,-47.852,-59.570,0.000
1709206148.385,-40.039,-50.781,-43.945,-59.570,0.000
1709206148.389,-31.738,-47.363,-42.969,-57.129,0.000
1709206148.393,-20.020,-34.180,-47.363,-58.105,0.000
1709206148.397,-24.414,-33.691,-48.340,-55.176,0.000
1709206148.401,-33.203,-55.664,-45.898,-39.062,0.000
1709206148.405,-34.668,-50.781,-45.898,-37.598,0.000
1709206148.409,-48.340,-38.086,-47.363,-41.992,0.000
1709206148.413,-47.852,-45.410,-44.922,-40.527,0.000
1709206148.417,-38.086,-44.434,-38.086,-45.410,0.000
1709206148.420,-44.922,-46.387,-38.574,-54.688,0.000
1709206148.424,-54.199,-51.758,-45.898,-58.594,0.000
1709206148.428,-53.223,-49.316,-41.992,-51.758,0.000
1709206148.432,-51.758,-47.852,-37.598,-47.852,0.000
1709206148.436,-46.387,-54.688,-37.109,-49.805,0.000
1709206148.440,-45.410,-55.176,-38.086,-47.852,0.000
1709206148.444,-62.988,-55.176,-33.203,-38.574,0.000
1709206148.448,-57.617,-59.082,-34.668,-28.320,0.000
1709206148.452,-41.504,-51.758,-40.039,-34.180,0.000
1709206148.456,-47.852,-45.410,-35.645,-33.203,0.000
1709206148.459,-54.199,-45.410,-35.156,-30.273,0.000
1709206148.463,-58.594,-50.781,-36.133,-34.180,0.000
1709206148.467,-58.105,-47.363,-35.156,-34.668,0.000
1709206148.471,-59.570,-52.246,-36.133,-38.574,0.000
1709206148.475,-48.340,-55.176,-38.086,-45.410,0.000
1709206148.479,-41.992,-48.828,-36.621,-45.410,0.000
1709206148.483,-60.547,-52.734,-35.156,-40.039,0.000
1709206148.487,-52.246,-56.641,-38.086,-45.410,0.000
1709206148.491,-34.180,-59.570,-36.133,-41.504,0.000
1709206148.495,-43.457,-48.340,-40.039,-38.086,0.000
1709206148.499,-35.645,-40.039,-43.457,-51.758,0.000
1709206148.502,-28.809,-48.340,-37.598,-48.828,0.000
1709206148.506,-49.316,-57.129,-38.574,-42.969,0.000
1709206148.510,-46.875,-51.270,-42.969,-42.480,0.000
1709206148.514,-32.227,-53.223,-38.086,-44.922,0.000
1709206148.518,-30.762,-59.570,-34.180,-45.898,0.000
1709206148.522,-38.086,-49.805,-38.086,-48.340,0.000
1709206148.526,-39.551,-42.480,-36.133,-53.223,0.000
1709206148.530,-30.273,-40.039,-32.715,-54.199,0.000
1709206148.534,-35.645,-47.363,-39.062,-52.246,0.000
1709206148.538,-36.133,-50.781,-36.621,-49.316,0.000
1709206148.542,-39.551,-38.086,-36.133,-49.805,0.000
1709206148.545,-47.363,-43.457,-41.992,-46.387,0.000
1709206148.549,-27.832,-52.246,-40.527,-45.898,0.000
1709206148.553,-41.504,-44.922,-38.086,-48.340,0.000
1709206148.557,-61.035,-44.434,-38.086,-48.828,0.000
1709206148.561,-48.828,-55.176,-34.668,-42.969,0.000
1709206148.565,-55.664,-56.641,-32.227,-31.738,0.000
1709206148.569,-66.406,-57.617,-34.180,-38.086,0.000
1709206148.573,-63.477,-58.594,-35.645,-48.340,0.000
1709206148.577,-62.988,-54.688,-36.621,-47.852,0.000
1709206148.581,-67.871,-60.547,-36.133,-40.527,0.000
1709206148.585,-70.312,-61.523,-37.598,-42.969,0.000
1709206148.588,-66.895,-46.875,-36.621,-47.852,0.000
1709206148.592,-71.777,-52.246,-39.551,-45.410,0.000
1709206148.596,-51.270,-52.246,-40.039,-40.527,0.000
1709206148.600,-29.785,-46.387,-37.109,-44.922,0.000
1709206148.604,-49.805,-56.641,-39.551,-51.270,0.000
1709206148.608,-55.664,-61.035,-38.574,-48.828,0.000
