timestamps,TP9,AF7,AF8,TP10,Right AUX
1709214674.548,-34.668,-41.992,-45.410,-36.133,0.000
1709214674.552,-30.273,-35.156,-42.480,-36.621,0.000
1709214674.556,-28.809,-41.992,-44.922,-41.016,0.000
1709214674.560,-34.668,-49.316,-47.852,-46.387,0.000
1709214674.564,-41.992,-41.504,-40.527,-38.574,0.000
1709214674.568,-42.480,-41.016,-38.086,-34.668,0.000
1709214674.572,-39.551,-49.316,-38.086,-34.180,0.000
1709214674.576,-38.574,-52.734,-39.551,-35.156,0.000
1709214674.579,-39.062,-54.688,-42.969,-38.574,0.000
1709214674.583,-41.992,-44.434,-36.621,-34.180,0.000
1709214674.587,-34.180,-40.039,-27.344,-29.297,0.000
1709214674.591,-24.414,-37.598,-30.762,-27.344,0.000
1709214674.595,-33.203,-37.109,-34.668,-34.668,0.000
1709214674.599,-39.551,-39.062,-26.855,-32.715,0.000
1709214674.603,-32.227,-41.016,-26.367,-26.855,0.000
1709214674.607,-25.879,-41.992,-32.715,-28.809,0.000
1709214674.611,-25.391,-41.016,-36.133,-30.273,0.000
1709214674.614,-28.809,-40.039,-35.645,-26.367,0.000
1709214674.618,-35.156,-46.875,-34.180,-21.484,0.000
1709214674.622,-26.367,-49.805,-32.227,-16.113,0.000
1709214674.626,-22.949,-34.668,-34.668,-21.973,0.000
1709214674.630,-27.344,-27.832,-48.340,-21.973,0.000
1709214674.634,-22.949,-39.062,-49.805,-15.625,0.000
1709214674.638,-33.203,-41.992,-39.062,-33.203,0.000
1709214674.642,0.000,-42.480,0.000,-43.457,0.000
1709214674.646,0.000,-48.340,0.000,-40.527,0.000
1709214674.650,0.000,-54.688,0.000,-37.109,0.000
1709214674.654,0.000,-61.035,0.000,-32.715,0.000
1709214674.658,0.000,-60.059,0.000,-27.344,0.000
1709214674.661,0.000,-59.082,0.000,-30.273,0.000
1709214674.665,0.000,-42.480,0.000,-38.574,0.000
1709214674.669,0.000,-36.621,0.000,-40.527,0.000
1709214674.673,0.000,-50.781,0.000,-44.434,0.000
1709214674.677,0.000,-51.270,0.000,-43.457,0.000
1709214674.681,0.000,-49.316,0.000,-45.898,0.000
1709214674.685,0.000,-49.316,0.000,-49.805,0.000
1709214674.689,-29.297,-50.781,-32.227,-42.969,0.000
1709214674.693,-32.715,-42.480,-29.297,-38.574,0.000
1709214674.697,-39.551,-42.480,-33.691,-47.363,0.000
1709214674.701,-46.387,-47.363,-39.551,-44.434,0.000
1709214674.704,-49.805,-49.316,-36.621,-35.156,0.000
1709214674.708,-45.410,-55.176,-41.992,-41.992,0.000
1709214674.712,-41.504,-50.781,-44.922,-45.410,0.000
1709214674.716,-36.621,-44.434,-33.691,-32.715,0.000
1709214674.720,-35.156,-42.969,-32.227,-23.438,0.000
1709214674.724,-30.762,-41.016,-25.879,-16.602,0.000
1709214674.728,-24.414,-40.527,-21.973,-17.578,0.000
1709214674.732,-17.090,-51.270,-34.668,-16.113,0.000
1709214674.736,-18.555,-57.129,-41.016,-22.949,0.000
1709214674.740,-27.832,-45.410,-31.738,-18.555,0.000
1709214674.744,-27.832,-37.109,-20.996,-6.836,0.000
1709214674.747,-35.156,-36.133,-22.461,-17.090,0.000
1709214674.751,-39.551,-40.527,-28.809,-26.367,0.000
1709214674.755,-39.062,-44.922,-33.691,-28.809,0.000
1709214674.759,-52.246,-53.223,-37.598,-38.574,0.000
1709214674.763,-55.176,-55.176,-37.109,-44.922,0.000
1709214674.767,-42.480,-51.758,-38.574,-31.250,0.000
1709214674.771,-36.621,-52.246,-38.574,-23.438,0.000
1709214674.775,-40.527,-55.664,-34.180,-34.668,0.000
1709214674.779,-36.621,-46.875,-27.832,-29.785,0.000
1709214674.783,-27.832,-42.969,-26.855,-26.855,0.000
1709214674.787,-27.344,-51.270,-33.691,-32.715,0.000
1709214674.790,-25.879,-43.457,-31.738,-27.344,0.000
1709214674.794,-26.367,-41.992,-31.250,-29.785,0.000
1709214674.798,-28.320,-56.152,-35.645,-36.133,0.000
1709214674.802,-30.762,-60.547,-40.039,-38.086,0.000
1709214674.806,-32.227,-56.641,-42.969,-34.668,0.000
1709214674.810,-29.785,-50.293,-37.598,-29.297,0.000
1709214674.814,-27.832,-53.223,-32.227,-31.738,0.000
1709214674.818,-22.949,-53.711,-33.691,-32.227,0.000
1709214674.822,-14.160,-41.016,-39.551,-28.320,0.000
1709214674.826,-15.625,-44.434,-45.898,-31.250,0.000
1709214674.829,-11.230,-48.828,-41.992,-25.391,0.000
1709214674.833,-8.301,-38.086,-43.945,-25.879,0.000
1709214674.837,-12.695,-33.203,-48.828,-29.297,0.000
1709214674.841,-12.207,-41.992,-45.898,-23.438,0.000
1709214674.845,-12.695,-36.621,-36.621,-20.508,0.000
1709214674.849,-10.254,-30.273,-33.203,-21.484,0.000
1709214674.853,-6.836,-32.227,-35.645,-20.508,0.000
1709214674.857,-20.996,-42.969,-40.527,-10.742,0.000
1709214674.861,-35.156,-50.781,-45.410,-15.137,0.000
1709214674.865,-30.762,-42.480,-38.574,-26.855,0.000
1709214674.869,-28.320,-44.922,-39.062,-22.461,0.000
1709214674.872,-38.574,-46.875,-44.922,-25.879,0.000
1709214674.876,-41.992,-44.922,-43.945,-37.598,0.000
1709214674.880,-42.969,-53.711,-41.992,-37.109,0.000
1709214674.884,-48.340,-60.059,-42.480,-38.086,0.000
1709214674.888,-48.828,-54.688,-46.875,-43.457,0.000
1709214674.892,-38.086,-44.922,-41.016,-44.922,0.000
1709214674.896,-37.598,-42.969,-35.156,-50.293,0.000
1709214674.900,-48.340,-46.387,-39.551,-46.387,0.000
1709214674.904,-49.316,-43.457,-32.715,-34.668,0.000
1709214674.908,-44.434,-40.039,-37.109,-39.551,0.000
1709214674.911,-32.227,-51.270,-42.480,-44.922,0.000
1709214674.915,-32.227,-55.176,-33.691,-43.457,0.000
1709214674.919,-39.551,-50.293,-39.551,-48.340,0.000
1709214674.923,-33.203,-43.945,-37.109,-35.156,0.000
1709214674.927,-27.832,-40.527,-35.156,-22.949,0.000
1709214674.931,-32.227,-40.527,-41.504,-35.645,0.000
1709214674.935,-35.645,-37.109,-37.598,-48.828,0.000
1709214674.939,-36.133,-41.016,-34.668,-49.805,0.000
1709214674.943,-41.992,-41.992,-38.086,-42.969,0.000
1709214674.947,-47.363,-41.992,-41.016,-32.715,0.000
1709214674.950,-49.316,-44.434,-47.852,-35.156,0.000
